Mid_Block,Street_Name,From_Street,To_Street,Volume,Yr,Mth
2379,COLUMBIA ST,ELLIOT ST,BLACKWOOD ST,20211,2006,12
1440,EIGHTH AVE,FOURTH ST,FIFTH ST,18238,2006,12
1932,THIRD AVE,EIGHTH ST,PEARCE ST,1378,2006,12
1085,SIXTH AVE,FIFTH ST,SIXTH ST,11136,2006,12
1393,FRONT ST,FOURTH ST,SIXTH ST,8861,2006,12
2024,ROYAL AVE,FOURTH ST,SIXTH ST,18509,2006,12
2110,TENTH AVE,FOURTH ST,FIFTH ST,22751,2006,12
1760,SEVENTH AVE,TWENTY-SECOND ST,TWENTY-THIRD ST,2247,2007,05
1504,EWEN AVE,PEMBINA ST,BOYNE ST,4038,2007,05
2143,EIGHTH AVE,TWENTY-SECOND ST,TWENTY-THIRD ST,3236,2007,05
2332,EWEN AVE,HOWES ST,HAMPTON ST,5986,2007,05
1018,E COLUMBIA ST,PRIVATE D-WAY,SHERBROOKE ST,13451,2007,06
1363,FIFTH ST,SIXTH AVE,FIFTH AVE,1859,2008,03
1381,QUAYSIDE DR,RELIANCE CT,LAGUNA CT,3435,2008,03
1943,QUEENS AVE,EIGHTH ST,NINTH ST,3243,2008,03
2415,FIFTH ST,FIFTH AVE,FOURTH AVE,1214,2008,03
1353,PARK CR,JACK MAHONY PL,EIGHTH AVE,2210,2008,03
2299,SOUTH DYKE RD,SPAGNOL ST,PHILLIPS ST,402,2008,04
2352,BOYD ST,HOWES ST,GIFFORD ST,5764,2008,04
2373,SALTER ST,VISCOUNT PL,CARTER ST,872,2008,04
2405,E TENTH AVE,MASSEY ST,CHILLIWACK ST,19909,2008,04
1315,CUMBERLAND ST,CARROL ST,HARVEY ST,8973,2008,04
1815,E EIGHTH AVE,SCOTT ST,CHILLIWACK ST,20112,2008,04
2067,E COLUMBIA ST,HOLMES ST,EOP,23875,2008,04
1684,THIRD AVE,TENTH ST,MOWAT ST,1661,2008,10
1708,LONDON ST,TENTH ST,HENLEY ST,717,2008,10
1074,ROYAL AVE,TENTH ST,ELEVENTH ST,15291,2008,10
1034,EIGHTH AVE,FIFTEENTH ST,SIXTEENTH ST,10890,2008,10
1490,TENTH AVE,SIXTEENTH ST,SEVENTEENTH ST,18058,2008,10
2094,TENTH AVE,FIFTEENTH ST,SIXTEENTH ST,18058,2008,10
2323,PHILLIPS ST,SALTER ST,EWEN AVE,401,2008,10
3019,HOLLY AVE,EWEN AVE,SALTER ST,325,2008,10
