PARK,StructureName,_x,_y
Queen's Park,,506663.4052,5451535.0654
Grimston Park,"Basketball Hoop,Playground Swing,Playground ClimbNet,Playground Slide,Playground Slide,Playground PlayMod,Playground PlayMod,Playground Swing,Playground TeeterTot,Playground Slide,Playground PlayMod,Playground PlayMod,Playground PlayMod,Playground PlayMod",504029.908377159,5449861.51766366
Hume Park,,507924.946,5453479.083
Toronto Place Park,Playground Swing,506222.92947716,5450166.85216366
Simcoe Park,"Playground ClimbNet,Playground PlayMod,Playground Slide,Playground Slide,Playground Swing,Playground Swing,Playground SpringToy,Playground PlayMod,Basketball Hoop,Basketball Hoop",506014.76327716,5450155.96226366
Simcoe Park,"Playground ClimbNet,Playground PlayMod,Playground Slide,Playground Slide,Playground Swing,Playground Swing,Playground SpringToy,Playground PlayMod,Basketball Hoop,Basketball Hoop",506014.76327716,5450155.96226366
Port Royal Park,,505595.9834,5449065.0278
Port Royal Park,,505589.9509,5449047.724
Ryall Park,,504232.7401,5448092.2412
Ryall Park,,504202.6834,5448068.1111
Ryall Park,,504159.2917,5448064.0895
Ryall Park,,504223.72,5448027.9145
West Queensborough Park,,503202.7529,5447155.0887
Riverside Park,,504851.0736,5450238.3615
Riverside Park,,504852.5817,5450221.534
Riverside Park,,504829.166,5450223.0421
Quayside Park,,505665.1686,5449495.15
Quayside Park,,505664.1632,5449531.5964
Sapperton Park,"Water Play Element,Playground PlayMod,Playground Slide,Playground ClimbNet,Playground Slide,Playground PlayMod,Playground Swing,Playground ClimbNet,Playground Slide,Playground ClimbNet,Playground TeeterTot,Playground Swing,Playground Swing,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element",507662.168877159,5452760.41536366
Sapperton Park,"Water Play Element,Playground PlayMod,Playground Slide,Playground ClimbNet,Playground Slide,Playground PlayMod,Playground Swing,Playground ClimbNet,Playground Slide,Playground ClimbNet,Playground TeeterTot,Playground Swing,Playground Swing,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element",507662.168877159,5452760.41536366
Sapperton Park,"Water Play Element,Playground PlayMod,Playground Slide,Playground ClimbNet,Playground Slide,Playground PlayMod,Playground Swing,Playground ClimbNet,Playground Slide,Playground ClimbNet,Playground TeeterTot,Playground Swing,Playground Swing,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element",507662.168877159,5452760.41536366
Terry Hughes Park,,506328.5009,5452048.4796
Terry Hughes Park,,506340.9363,5452041.865
Terry Hughes Park,,506339.7721,5452027.2071
Moody Park,"Basketball Hoop,Basketball Hoop,Playground Slide,Playground Slide,Playground Slide,Playground ClimbNet,Playground TeeterTot,Playground Swing,Playground Swing,Playground Swing,Playground Swing,Playground ClimbNet,Playground PlayMod,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Basketball Hoop,Water Play Element,Water Play Element,Water Play Element",505304.719777159,5451069.20566366
Westminster Pier Park,,506918.6667,5450074.0594
Westminster Pier Park,,506809.3406,5449981.2434
Connaught Heights Park,"Playground Swing,Playground Swing,Playground Slide,Playground PlayMod,Playground PlayMod,Playground ClimbNet,Playground Slide,Playground SpringToy,Playground PlayMod",503293.29427716,5450056.58186366
Quayside Park,,505665.8784,5449516.1567
Old Schoolhouse Park,,504827.002,5448672.0284
Old Schoolhouse Park,,504830.9179,5448657.1058
Red Boat Park,,505294.3794,5448926.5231
Sinclair Park,"Playground Slide,Playground PlayMod,Playground SpringToy,Playground SpringToy,Playground TeeterTot,Playground Swing",505966.10127716,5452076.03986366
Sinclair Park,"Playground Slide,Playground PlayMod,Playground SpringToy,Playground SpringToy,Playground TeeterTot,Playground Swing",505966.10127716,5452076.03986366
Sullivan Park,"Playground Swing,Playground PlayMod",506563.13837716,5451033.22866366
Sullivan Park,"Playground Swing,Playground PlayMod",506563.13837716,5451033.22866366
Sullivan Park,"Playground Swing,Playground PlayMod",506563.13837716,5451033.22866366
Suhk Sagar Park,,504364.8856,5448501.5335
Suhk Sagar Park,,504373.5375,5448499.2316
Victory Heights Park,"Playground Swing,Playground PlayMod,Playground PlayMod,Playground SpringToy,Playground Swing,Basketball Hoop,Playground Slide",506948.00887716,5453066.56386366
Victory Heights Park,"Playground Swing,Playground PlayMod,Playground PlayMod,Playground SpringToy,Playground Swing,Basketball Hoop,Playground Slide",506948.00887716,5453066.56386366
